casilla_id,municipio,df,dl,casilla,ubicación,capturista_id,id
1,1,7,15,1 B,"SORIANA SÚPER SAN MARINO, CARRETERA TIJUANA ENSENADA, SIN NÚMERO, FRACCIONAMIENTO SAN MARINO, CÓDIGO POSTAL 22870, ENSENADA, BAJA CALIFORNIA, FRENTE A UN AUTOZONE Y AL LADO DE UN SUBWAY",1,1
2,1,7,15,1 C1,"SORIANA SÚPER SAN MARINO, CARRETERA TIJUANA ENSENADA, SIN NÚMERO, FRACCIONAMIENTO SAN MARINO, CÓDIGO POSTAL 22870, ENSENADA, BAJA CALIFORNIA, FRENTE A UN AUTOZONE Y AL LADO DE UN SUBWAY",1,2
3,1,7,15,1 C2,"SORIANA SÚPER SAN MARINO, CARRETERA TIJUANA ENSENADA, SIN NÚMERO, FRACCIONAMIENTO SAN MARINO, CÓDIGO POSTAL 22870, ENSENADA, BAJA CALIFORNIA, FRENTE A UN AUTOZONE Y AL LADO DE UN SUBWAY",1,3
4,1,7,15,1 C3,"SORIANA SÚPER SAN MARINO, CARRETERA TIJUANA ENSENADA, SIN NÚMERO, FRACCIONAMIENTO SAN MARINO, CÓDIGO POSTAL 22870, ENSENADA, BAJA CALIFORNIA, FRENTE A UN AUTOZONE Y AL LADO DE UN SUBWAY",1,4
5,1,7,15,1 S1,,,5
6,1,7,15,2 B,"ABARROTES MINERVA, CALLE BAHÍA DE LA PAZ, NÚMERO 206, FRACCIONAMIENTO MODERNA, CÓDIGO POSTAL 22870, ENSENADA, BAJA CALIFORNIA, ESQUINA CON CALLE ASUNCIÓN",1,6
7,1,7,15,2 C1,"ABARROTES MINERVA, CALLE BAHÍA DE LA PAZ, NÚMERO 206, FRACCIONAMIENTO MODERNA, CÓDIGO POSTAL 22870, ENSENADA, BAJA CALIFORNIA, ESQUINA CON CALLE ASUNCIÓN",1,7
8,1,7,15,2 C2,"ABARROTES MINERVA, CALLE BAHÍA DE LA PAZ, NÚMERO 206, FRACCIONAMIENTO MODERNA, CÓDIGO POSTAL 22870, ENSENADA, BAJA CALIFORNIA, ESQUINA CON CALLE ASUNCIÓN",1,8
9,1,7,15,3 B,"ESCUELA PRIMARIA FEDERAL PEDRO MARÍA ANAYA, CALLE SOLEDAD, SIN NÚMERO, COLONIA SEXTO AYUNTAMIENTO, CÓDIGO POSTAL 22820, ENSENADA, BAJA CALIFORNIA, ENTRE AVENIDA DE LA PAZ Y CALLE MIRADOR.",1,9
10,1,7,15,3 C1,"ESCUELA PRIMARIA FEDERAL PEDRO MARÍA ANAYA, CALLE SOLEDAD, SIN NÚMERO, COLONIA SEXTO AYUNTAMIENTO, CÓDIGO POSTAL 22820, ENSENADA, BAJA CALIFORNIA, ENTRE AVENIDA DE LA PAZ Y CALLE MIRADOR.",1,10
