id,df_id,dl_id,municipio_id
1,7,15,1
2,7,15,1
3,7,15,1
4,7,15,1
5,7,15,1
6,7,15,1
7,7,15,1
8,7,15,1
9,7,15,1
10,7,15,1
11,7,15,1
12,7,16,1
15,3,16,1
16,3,16,1
17,3,16,1
18,3,16,1
19,3,15,1
20,7,15,1
21,7,15,1
22,7,15,1
23,7,15,1
24,7,15,1
25,7,15,1
26,7,15,1
27,3,15,1
28,3,15,1
29,3,15,1
30,3,16,1
31,3,16,1
32,3,16,1
33,3,16,1
34,3,16,1
35,3,16,1
36,7,16,1
37,3,16,1
38,3,16,1
39,3,16,1
40,3,16,1
41,3,15,1
42,3,15,1
43,3,15,1
44,3,15,1
45,3,15,1
46,7,15,1
47,7,15,1
48,7,15,1
49,7,15,1
50,3,15,1
51,3,15,1
52,3,15,1
53,3,15,1
54,3,15,1
55,3,15,1
56,3,15,1
57,3,15,1
58,3,15,1
59,3,16,1
60,3,16,1
61,3,16,1
62,3,16,1
63,3,16,1
64,3,15,1
65,3,15,1
66,3,15,1
67,3,15,1
68,3,15,1
69,3,15,1
70,3,15,1
71,3,16,1
72,3,16,1
73,3,16,1
74,3,16,1
75,3,16,1
76,3,15,1
77,3,16,1
78,3,16,1
79,3,16,1
80,3,16,1
81,3,16,1
82,3,16,1
83,3,16,1
84,3,16,1
85,3,16,1
86,3,16,1
87,3,15,1
88,3,15,1
89,3,16,1
90,3,16,1
91,3,16,1
92,3,16,1
93,3,16,1
94,3,16,1
95,3,16,1
96,3,16,1
97,3,16,1
98,3,16,1
99,3,16,1
100,3,16,1
101,3,16,1
102,3,16,1
103,3,16,1
104,3,16,1
105,3,16,1
106,3,16,1
107,3,16,1
109,3,16,1
110,3,16,1
111,3,15,1
112,3,15,1
113,3,15,1
114,3,16,1
115,3,16,1
116,3,15,1
117,3,15,1
118,3,16,1
119,3,16,1
120,3,16,1
121,3,16,1
122,3,17,1
124,3,17,1
125,3,17,1
127,3,17,1
128,7,15,1
129,7,15,1
130,7,15,1
131,7,15,1
132,7,15,1
133,7,15,1
135,3,17,1
136,3,17,1
137,3,17,1
138,3,17,1
139,3,17,1
140,3,17,1
141,3,17,1
142,3,17,1
143,3,17,1
144,3,17,1
145,3,17,1
146,3,17,1
147,3,17,1
148,3,17,1
149,3,17,6
150,3,17,6
151,3,17,6
152,3,17,6
153,3,17,6
154,3,17,6
155,3,17,6
156,3,17,6
157,3,17,6
158,3,17,6
159,3,17,6
160,3,17,6
161,3,17,6
162,3,17,6
163,3,17,1
164,3,17,1
165,3,17,1
166,7,15,1
167,7,15,1
168,7,15,1
169,7,15,1
170,7,15,1
171,7,15,1
173,7,15,1
174,7,15,1
175,7,15,1
177,3,17,1
178,3,17,1
179,3,17,1
180,3,17,1
181,3,17,1
182,3,17,1
183,3,17,1
184,3,17,1
185,3,17,1
186,3,17,6
187,3,17,6
188,3,17,6
189,3,17,6
190,3,17,6
191,3,17,6
192,3,17,6
193,3,17,7
194,3,17,6
